# Wed Apr  3 10:42:34 2019

# input dimensionality
5

# covariance function
CovSum(CovSEiso, CovNoise)

# log-hyperparameter
0.1295303991 -3.698674232 -7.704806838 

# data (target value in first column)
0.025968 0 0.553073 0.666667 0.666667 0.375
0.024299 0 0.553073 0.666667 0 0.375
0.030613 0 0.553073 0.666667 1 0.375
0.024297 0 0.553073 0.666667 0.333333 0.375
0.028419 0 0.553073 1 0.666667 0.375
0.02224 0 0.553073 1 0 0.375
0.03428 0 0.553073 1 1 0.375
0.024263 0 0.553073 1 0.333333 0.375
0.032876 0 0.553073 0 0.666667 0.375
0.032994 0 0.553073 0 0 0.375
0.033591 0 0.553073 0 1 0.375
0.032396 0 0.553073 0 0.333333 0.375
0.027635 0 0.553073 0.333333 0.666667 0.375
0.027753 0 0.553073 0.333333 0 0.375
0.029184 0 0.553073 0.333333 1 0.375
0.027156 0 0.553073 0.333333 0.333333 0.375
0.026444 0 0.776536 0.666667 0.666667 0.375
0.024418 0 0.776536 0.666667 0 0.375
0.031209 0 0.776536 0.666667 1 0.375
0.024535 0 0.776536 0.666667 0.333333 0.375
0.028838 0 0.776536 1 0.666667 0.375
0.022339 0 0.776536 1 0 0.375
0.035039 0 0.776536 1 1 0.375
0.024474 0 0.776536 1 0.333333 0.375
0.032996 0 0.776536 0 0.666667 0.375
0.033232 0 0.776536 0 0 0.375
0.033591 0 0.776536 0 1 0.375
0.032396 0 0.776536 0 0.333333 0.375
0.027874 0 0.776536 0.333333 0.666667 0.375
0.027872 0 0.776536 0.333333 0 0.375
0.029303 0 0.776536 0.333333 1 0.375
0.027275 0 0.776536 0.333333 0.333333 0.375
0.026325 0 1 0.666667 0.666667 0.375
0.024537 0 1 0.666667 0 0.375
0.031447 0 1 0.666667 1 0.375
0.024654 0 1 0.666667 0.333333 0.375
0.029045 0 1 1 0.666667 0.375
0.022576 0 1 1 0 0.375
0.035029 0 1 1 1 0.375
0.024769 0 1 1 0.333333 0.375
0.033115 0 1 0 0.666667 0.375
0.033232 0 1 0 0 0.375
0.03371 0 1 0 1 0.375
0.032515 0 1 0 0.333333 0.375
0.027754 0 1 0.333333 0.666667 0.375
0.027991 0 1 0.333333 0 0.375
0.029422 0 1 0.333333 1 0.375
0.027275 0 1 0.333333 0.333333 0.375
0.025015 0 0.106145 0.666667 0.666667 0.375
0.023227 0 0.106145 0.666667 0 0.375
0.028826 0 0.106145 0.666667 1 0.375
0.023463 0 0.106145 0.666667 0.333333 0.375
0.026352 0 0.106145 1 0.666667 0.375
0.020877 0 0.106145 1 0 0.375
0.031473 0 0.106145 1 1 0.375
0.022725 0 0.106145 1 0.333333 0.375
0.032638 0 0.106145 0 0.666667 0.375
0.032041 0 0.106145 0 0 0.375
0.033353 0 0.106145 0 1 0.375
0.031801 0 0.106145 0 0.333333 0.375
0.027159 0 0.106145 0.333333 0.666667 0.375
0.0268 0 0.106145 0.333333 0 0.375
0.028588 0 0.106145 0.333333 1 0.375
0.02656 0 0.106145 0.333333 0.333333 0.375
0.025729 0 0.329609 0.666667 0.666667 0.375
0.024061 0 0.329609 0.666667 0 0.375
0.030018 0 0.329609 0.666667 1 0.375
0.024178 0 0.329609 0.666667 0.333333 0.375
0.027684 0 0.329609 1 0.666667 0.375
0.02194 0 0.329609 1 0 0.375
0.033491 0 0.329609 1 1 0.375
0.023893 0 0.329609 1 0.333333 0.375
0.032757 0 0.329609 0 0.666667 0.375
0.032994 0 0.329609 0 0 0.375
0.033591 0 0.329609 0 1 0.375
0.032039 0 0.329609 0 0.333333 0.375
0.027635 0 0.329609 0.333333 0.666667 0.375
0.027634 0 0.329609 0.333333 0 0.375
0.028946 0 0.329609 0.333333 1 0.375
0.027036 0 0.329609 0.333333 0.333333 0.375
0.027754 0.5 0.553073 0.666667 0.666667 0.375
0.025728 0.5 0.553073 0.666667 0 0.375
0.031209 0.5 0.553073 0.666667 1 0.375
0.026203 0.5 0.553073 0.666667 0.333333 0.375
0.028297 0.5 0.553073 1 0.666667 0.375
0.023653 0.5 0.553073 1 0 0.375
0.033382 0.5 0.553073 1 1 0.375
0.025371 0.5 0.553073 1 0.333333 0.375
0.033949 0.5 0.553073 0 0.666667 0.375
0.033709 0.5 0.553073 0 0 0.375
0.035259 0.5 0.553073 0 1 0.375
0.03323 0.5 0.553073 0 0.333333 0.375
0.02966 0.5 0.553073 0.333333 0.666667 0.375
0.028706 0.5 0.553073 0.333333 0 0.375
0.031566 0.5 0.553073 0.333333 1 0.375
0.028823 0.5 0.553073 0.333333 0.333333 0.375
0.027874 0.5 0.776536 0.666667 0.666667 0.375
0.025728 0.5 0.776536 0.666667 0 0.375
0.031447 0.5 0.776536 0.666667 1 0.375
0.026322 0.5 0.776536 0.666667 0.333333 0.375
0.028816 0.5 0.776536 1 0.666667 0.375
0.024036 0.5 0.776536 1 0 0.375
0.033696 0.5 0.776536 1 1 0.375
0.025732 0.5 0.776536 1 0.333333 0.375
0.033949 0.5 0.776536 0 0.666667 0.375
0.033828 0.5 0.776536 0 0 0.375
0.035378 0.5 0.776536 0 1 0.375
0.033468 0.5 0.776536 0 0.333333 0.375
0.029779 0.5 0.776536 0.333333 0.666667 0.375
0.029063 0.5 0.776536 0.333333 0 0.375
0.031685 0.5 0.776536 0.333333 1 0.375
0.028942 0.5 0.776536 0.333333 0.333333 0.375
0.028112 0.5 1 0.666667 0.666667 0.375
0.025966 0.5 1 0.666667 0 0.375
0.031685 0.5 1 0.666667 1 0.375
0.026322 0.5 1 0.666667 0.333333 0.375
0.028917 0.5 1 1 0.666667 0.375
0.02421 0.5 1 1 0 0.375
0.034021 0.5 1 1 1 0.375
0.025799 0.5 1 1 0.333333 0.375
0.034068 0.5 1 0 0.666667 0.375
0.033828 0.5 1 0 0 0.375
0.035378 0.5 1 0 1 0.375
0.033468 0.5 1 0 0.333333 0.375
0.029779 0.5 1 0.333333 0.666667 0.375
0.029182 0.5 1 0.333333 0 0.375
0.031685 0.5 1 0.333333 1 0.375
0.029061 0.5 1 0.333333 0.333333 0.375
0.027159 0.5 0.106145 0.666667 0.666667 0.375
0.024418 0.5 0.106145 0.666667 0 0.375
0.030137 0.5 0.106145 0.666667 1 0.375
0.025488 0.5 0.106145 0.666667 0.333333 0.375
0.027144 0.5 0.106145 1 0.666667 0.375
0.022416 0.5 0.106145 1 0 0.375
0.031477 0.5 0.106145 1 1 0.375
0.024497 0.5 0.106145 1 0.333333 0.375
0.033472 0.5 0.106145 0 0.666667 0.375
0.032637 0.5 0.106145 0 0 0.375
0.034901 0.5 0.106145 0 1 0.375
0.032634 0.5 0.106145 0 0.333333 0.375
0.029184 0.5 0.106145 0.333333 0.666667 0.375
0.027515 0.5 0.106145 0.333333 0 0.375
0.03109 0.5 0.106145 0.333333 1 0.375
0.028108 0.5 0.106145 0.333333 0.333333 0.375
0.027516 0.5 0.329609 0.666667 0.666667 0.375
0.025252 0.5 0.329609 0.666667 0 0.375
0.030851 0.5 0.329609 0.666667 1 0.375
0.025964 0.5 0.329609 0.666667 0.333333 0.375
0.028015 0.5 0.329609 1 0.666667 0.375
0.023279 0.5 0.329609 1 0 0.375
0.03275 0.5 0.329609 1 1 0.375
0.025021 0.5 0.329609 1 0.333333 0.375
0.03371 0.5 0.329609 0 0.666667 0.375
0.033351 0.5 0.329609 0 0 0.375
0.03514 0.5 0.329609 0 1 0.375
0.033111 0.5 0.329609 0 0.333333 0.375
0.029541 0.5 0.329609 0.333333 0.666667 0.375
0.028587 0.5 0.329609 0.333333 0 0.375
0.031447 0.5 0.329609 0.333333 1 0.375
0.028466 0.5 0.329609 0.333333 0.333333 0.375
0.031328 1 0.553073 0.666667 0.666667 0.375
0.028825 1 0.553073 0.666667 0 0.375
0.033949 1 0.553073 0.666667 1 0.375
0.029776 1 0.553073 0.666667 0.333333 0.375
0.030374 1 0.553073 1 0.666667 0.375
0.02683 1 0.553073 1 0 0.375
0.034147 1 0.553073 1 1 0.375
0.028267 1 0.553073 1 0.333333 0.375
0.037403 1 0.553073 0 0.666667 0.375
0.036329 1 0.553073 0 0 0.375
0.039071 1 0.553073 0 1 0.375
0.036207 1 0.553073 0 0.333333 0.375
0.033591 1 0.553073 0.333333 0.666667 0.375
0.031565 1 0.553073 0.333333 0 0.375
0.035497 1 0.553073 0.333333 1 0.375
0.032277 1 0.553073 0.333333 0.333333 0.375
0.031447 1 0.776536 0.666667 0.666667 0.375
0.028825 1 0.776536 0.666667 0 0.375
0.034068 1 0.776536 0.666667 1 0.375
0.030014 1 0.776536 0.666667 0.333333 0.375
0.03072 1 0.776536 1 0.666667 0.375
0.027097 1 0.776536 1 0 0.375
0.034413 1 0.776536 1 1 0.375
0.028521 1 0.776536 1 0.333333 0.375
0.037522 1 0.776536 0 0.666667 0.375
0.036329 1 0.776536 0 0 0.375
0.03919 1 0.776536 0 1 0.375
0.036446 1 0.776536 0 0.333333 0.375
0.033591 1 0.776536 0.333333 0.666667 0.375
0.031922 1 0.776536 0.333333 0 0.375
0.035735 1 0.776536 0.333333 1 0.375
0.032515 1 0.776536 0.333333 0.333333 0.375
0.031566 1 1 0.666667 0.666667 0.375
0.029063 1 1 0.666667 0 0.375
0.034306 1 1 0.666667 1 0.375
0.030014 1 1 0.666667 0.333333 0.375
0.030949 1 1 1 0.666667 0.375
0.027301 1 1 1 0 0.375
0.034638 1 1 1 1 0.375
